method,run_dir,n_total_targets,solving_rate,mean_wall_time_s,avg_route_length,avg_num_routes
LocalRetro_mcts,LocalRetro_2026-03-02T15:42:08,100,0.710000,5.255112,3.239067,4.830986
LocalRetro_retro_star,LocalRetro_2026-03-02T15:42:08,100,0.750000,8.097725,5.429348,4.906667
MEGAN_mcts,MEGAN_2026-03-02T15:42:17,100,0.790000,7.223457,4.425197,4.822785
MEGAN_retro_star,MEGAN_2026-03-02T15:48:02,100,0.830000,4.696501,5.600000,5.000000
RetroKNN_mcts,RetroKNN_2026-03-02T15:42:16,100,0.710000,9.646885,3.446746,4.760563
RetroKNN_retro_star,RetroKNN_2026-03-02T15:42:16,100,0.720000,7.035540,5.170455,4.888889
